tithi|event_id|event|masa|paksha|id
purnima|31|<a href="http://www.scsmath.com/events/calendar_events/06_Snan_Yatra.html" target="_top">Snan Yatra (bathing of Sri Jagannathdev).</a> Disappearance of <a href="http://www.scsmath.com/events/calendar_events/05_MukundaDatta_SridharPandit.html">Srila Mukunda Datta and Srila Sridhar Pandit</a>|trivikram|G|31
pratipad|32|Disappearance of <a href="http://www.scsmath.com/events/calendar_events/06_ShyamanandaPrabhu.html">Srila Shyamananda Prabhu</a> and <a href="http://www.scsmath.com/events/calendar_events/06_RsabhdevPrabhu.html" target="_top">Sripad Rishabdev Das Adhikari</a>|vamana|K|32
dvitiya|33|Disappearance of Sri Gaurahari Bhakti Sampad Prabhu|vamana|K|33
panchami|34|Appearance of <a href="http://www.scsmath.com/events/calendar_events/06_VakresvaraPandit.html">Srila Vakreshvar Pandit</a>|vamana|K|34
ekadashi|35|<a href="http://www.scsmath.com/events/calendar_events/06_RamaDevi.html" target="_top">Disappearance of Sriyukta Rama Devi</a>|vamana|K|35
amavasya|36|<a href="http://www.scsmath.com/events/calendar_events/06_GadadharPandit-Bhaktivinod-disap.html" target="_top"><b>Disappearance of Srila Gadadhar Pandit </b>and <b>Srila Sachchidananda Bhakti Vinod Thakur.</b></a> <a href="http://www.scsmath.com/events/calendar_events/06_Gundicha.html" target="_top"><b>Gundicha Marjan</b>: cleaning at the Gundicha Temple at Sri Puri Dham, and cleaning of all Temples of the Lord</a>,|vamana|K|36
pratipad|37|<b><a href="http://www.scsmath.com/events/calendar_events/06_Rathayatra.html">Ratha Yatra of Sri Jagannathdev</a></b>|vamana|G|37
dvitiya|38|<a href="http://www.scsmath.com/events/calendar_events/06_Rathayatra.html">Disappearance of Srila Svarupdamodar Goswami Prabhu</a>|vamana|G|38
panchami|39|<a href="http://www.scsmath.com/events/calendar_events/06_Hera_Panchami.html" target="_top">Hera Panchami. Sri Sri Laksmi Vijay</a> (observed the following day in Sri Puri Dham)|vamana|G|39
ashtami|40|<a href="http://www.scsmath.com/events/calendar_events/06_AjitKrsnaPrabhu.html" target="_top">Disappearance of Sripad Ajita Krishna Brahmachari</a>|vamana|G|40
dvadashi|41|Punar Yatra of Sri Jagannathdev (Return car festival. Disappearance of Tridandi Swami Bhakti Kamal Madhusudan Maharaj). Disappearance of Sriyukta Krishnamayi Devi|vamana|G|41
purnima|42|<a href="http://www.scsmath.com/events/calendar_events/07_GuruPurnima_Chaturmasya.html">Sri Guru Purnima. Appearance of Srila Vyasadev. Disappearance of Srila Sanatan Goswami Prabhu. Beginning of Chaturmasya</a> (when started on Purnima as followed in Sri Chaitanya Saraswat Math. Appearance of Srila Bhakti Bimal Avadhut Maharaj)|vamana|G|42
dvitiya|43|Disappearance of <a href="http://www.scsmath.com/events/calendar_events/07_BonMaharaj.html">Tridandi Swami Srimad Bhakti Hriday Bon Maharaj</a>|shridhar|K|43
panchami|44|Disappearance of <a href="http://www.scsmath.com/events/calendar_events/01_GopalBhattaGoswami.html">Srila Gopal Bhatta Goswami Prabhu</a>|shridhar|K|44
ashtami|45|Disappearance of <a href="http://www.scsmath.com/events/calendar_events/07_LokanathGoswami.html">Srila Lokanath Goswami Prabhu</a>|shridhar|K|45
amavasya|46|<a href="http://www.scsmath.com/events/calendar_events/07_SrilaGuruMaharaj.html" target="_top"><b>Festival in honour of the disappearance of Omvishnupad Paramahamsa Parivrajakacharya-varya Ashtottara-shata-sri Srila Bhakti Raksak Sridhar Dev-Goswami Maharaj</b></a>|shridhar|K|46
chaturti|47|Disappearance of <a href="http://www.scsmath.com/events/calendar_events/08_VamsiDasBabaji.html">Srila Vamshi Das Babaji Maharaj</a>|shridhar|G|47
shashthi|48|Appearance of Srila Bhakti Vijaytrivikram Maharaj|shridhar|G|48
saptami|49|Disappearance of Sripad Ananga Mohan Das Adhikari|shridhar|G|49
navami|50|Disappearance of Tridandi Swami Bhakti Prasun Bodhayan Maharaj|shridhar|G|50
ekadashi|51|Beginning of <a href="http://www.scsmath.com/events/calendar_events/07_Jhulan-yatra.html">Jhulan Yatra of Sri Sri Radha-Govinda</a> and start of the one month festival of Sri Hari Smaran at Nabadwip, Sri Chaitanya Saraswat Math,|shridhar|G|51
dvadashi|52|<a href="http://www.scsmath.com/events/calendar_events/08_RupaGoswami_GauriDasPandit.html" target="_top">Disappearance of Srila Rupa Goswami and Srila Gauri Das Pandit Goswami</a>|shridhar|G|52
purnima|53|<a href="http://www.scsmath.com/events/calendar_events/08_Baladeva.html" target="_top"><b>Appearance of Sri Baladev.</b></a> Fast until noon. End of Jhulan Yatra of Sri Sri Radha-Govinda|shridhar|G|53
panchami|54|Disappearance of Tridandi Swami Bhakti Vilas Tapasvi Maharaj|hrishikesh|K|54
ashtami|55|<a href="http://www.scsmath.com/events/calendar_events/08_Janmastami.html" target="_top"><b>Sri Sri Krishna Janmashtami.</b></a> <b>Complete fast until midnight</b>,then no grains|hrishikesh|K|55
navami|56|<b><a href="http://www.scsmath.com/events/calendar_events/08_Nandotsav.html">Sri Nandotsav.</a></b> Sri Janmashtami paran. <b>Appearance of <a href="http://www.scsmath.com/events/calendar_events/11_Swami_Prabhupad.html" target="_top">Vishva-varenya Tridandi Swami Srimad Bhaktivedanta Swami Maharaj Prabhupad</a></b>|hrishikesh|K|56
panchami|57|Appearance of <a href="http://www.scsmath.com/events/calendar_events/09_Sita_ConsortOfAdvaitaAcharya.html">Sri Sita Devi, the consort of Sri Advaita Prabhu</a>,|hrishikesh|G|57
saptami|58|<a href="http://www.scsmath.com/events/calendar_events/08_LalitaSaptami.html" target="_top"><b>Sri Lalita Saptami.</b></a> Appearance of Sri Lalita Devi|hrishikesh|G|58
ashtami|59|<a href="http://www.scsmath.com/events/calendar_events/09_Sri_Radhastami.html" target="_top"><b>Sri Radhashtami.</b></a> Srimati Radharani\'s appearance at noon. Fast until noon|hrishikesh|G|59
dvadashi|60|<a href="http://www.scsmath.com/events/calendar_events/09_Vamana-Jiva-appearance.html">Appearance of Sri Vamanadev.</a> <a href="http://www.scsmath.com/events/calendar_events/09_Vamana-Jiva-appearance.html"><strong>Appearance of Srila Jiva Goswami Prabhu</strong></a>|hrishikesh|G|60
trayodashi|61|<a href="http://www.scsmath.com/events/calendar_events/09_BhaktivinodThakur_app.html" target="_top"><b>Appearance of Srila Sachchidananda Bhakti Vinod Thakur</b></a>|hrishikesh|G|61
chaturdashi|62|<a href="http://www.scsmath.com/events/calendar_events/09_Haridas_Thakur-disap.html" target="_top"><b>Disappearance of Srila Haridas Thakur</b></a>|hrishikesh|G|62
purnima|63|<a href="http://www.scsmath.com/events/calendar_events/09_VisvarupMahotsav.html">Vishvarup Mahotsav.</a> End of month-long festival at Nabadwip, Sri Chaitanya Saraswat Math,|hrishikesh|G|63
dvitiya|64|Disappearance of Tridandi Swami Srimad Bhakti Vilas Tirtha Maharaj|padmanabha|K|64
pratipad|65|Appearance festival of Sri Chaitanya Saraswat Math Acharya and Sevaite Srila Bhakti Nirmal Acharya Maharaj|padmanabha|G|65
tritiya|66|Disappearance of Sriyukta Radharani Devi Chaudurani|padmanabha|G|66
chaturti|67|Disappearance of Tridandi Swami Sripad Bhakti Dayitadamodar Maharaj|padmanabha|G|67
dvadashi|68|<a href="http://www.scsmath.com/events/calendar_events/10_Ramachandra-Madhvacharya.html">Vijay Utsav of Sri Ramachandra. Appearance of Sri Madhva Acharya</a>|padmanabha|G|68
dvadashi|69|Disappearance of <a href="http://www.scsmath.com/events/calendar_events/10_RaghunathDas-RaghunathBhatta-Disap.html">Srila Raghunath Das Goswami, Srila Raghunath Bhatta Goswami,</a> and <a href="http://www.scsmath.com/events/calendar_events/10_KrsnaDasKaviraj-disap.html" target="_top">Srila Krishnadas Kaviraj Goswami</a>|padmanabha|G|69
purnima|70|Sharadiya Rasa Yatra of Sri Krishna. Disappearance of Srila Murari Gupta. <a href="http://www.scsmath.com/events/calendar_events/10_Karttik.html" target="_top">Beginning of Urja Vrata,damodar Vrata, Kartik Vrata and Niyam-seva Vrata</a> if begun from the purnima day, as followed in Sri Chaitanya Saraswat Math|padmanabha|G|70
tritiya|71|Disappearance of Tridandi Swami Srimad Bhakti Srirup Puri Maharaj|damodar|K|71
panchami|72|<a href="http://www.scsmath.com/events/calendar_events/10_NarottamDasThakurDisapearance.html" target="_top">Disappearance of Srila Narottam Das Thakur</a>|damodar|K|72
shashthi|73|<a href="http://www.scsmath.com/events/calendar_events/10_Jajavar_Maharaj.html" target="_top">Disappearance of Srila Bhakti Vichar Jajavar Maharaj</a>|damodar|K|73
ashtami|74|Bahulashtami. Manifestation day of Sri Radha Kunda. <a href="http://www.scsmath.com/events/calendar_events/10_SrilaGovindaMjs-SannyasDay.html" target="_top">Sannyas day of Srila Bhakti Sundar Govinda Dev-Goswami Maharaj</a>|damodar|K|74
navami|75|<a href="http://www.scsmath.com/events/calendar_events/10_SrilaSridharMj_VPuja.html" target="_top"><b>The grand 123nd appearance day celebration of Sri Chaitanya Saraswat Math\'s Founder-President-Acharya, Omvishnupad Paramahamsa Parivrajakacharya-varya Ashtottara-shata-sri Srila Bhakti Raksak Sridhar Dev-Goswami Maharaj.</b></a> Appearance of Srila Virachandra Prabhu. Disappearance of Sripad Sakhi Charan Das Babaji Maharaj|damodar|K|75
dvadashi|76|Festival in honour of Sri Gauranga Mahaprabhu\'s auspicious arrival at Sripat Panihati|damodar|K|76
chaturdashi|77|Offering and placing of lamps (or candles on Vishnu Mandirs)|damodar|K|77
amavasya|78|Dipavali. Offering and placing of lamps (or candles on Vishnu Mandirs)|damodar|K|78
